,car_model,year_of_manufacture,price,fuel,Unnamed: 0.1,Unnamed: 0
139,ertiga,2015,9104.48,Petrol,,
140,dzire,2009,3358.21,Petrol,,
141,ertiga,2016,11567.16,Diesel,,
142,ertiga,2015,10820.9,Diesel,,
143,ertiga,2016,11567.16,Diesel,,
144,wagon r,2015,4850.75,CNG,,
145,sx4,2010,3955.22,Petrol,,
146,alto k10,2016,4253.73,Petrol,,
147,ignis,2017,7313.43,Petrol,,
148,sx4,2011,6567.16,Petrol,,
149,alto k10,2014,3731.34,Petrol,,
150,wagon r,2013,4328.36,Petrol,,
151,swift,2011,4477.61,Petrol,,
152,swift,2013,6194.03,Petrol,,
153,swift,2017,8955.22,Petrol,,
154,alto k10,2010,2910.45,Petrol,,
155,ciaz,2015,11119.4,Diesel,,
156,ritz,2012,4626.87,Diesel,,
157,ritz,2011,3507.46,Petrol,,
158,swift,2014,7388.06,Diesel,,
159,ertiga,2014,8955.22,Diesel,,
160,dzire,2014,8208.96,Diesel,,
161,sx4,2011,4402.99,CNG,,
162,dzire,2015,6940.3,Petrol,,
163,800,2003,522.39,Petrol,,
164,alto k10,2016,4477.61,Petrol,,
165,sx4,2003,3358.21,Petrol,,
166,baleno,2016,8731.34,Petrol,,
167,alto k10,2014,3805.97,Petrol,,
168,sx4,2008,2910.45,Petrol,,
169,dzire,2014,8208.96,Diesel,,
170,omni,2012,1865.67,Petrol,,
171,ciaz,2014,11194.03,Petrol,,
172,ritz,2013,3955.22,Petrol,,
173,wagon r,2006,1567.16,Petrol,,
174,ertiga,2015,8656.72,Petrol,,
175,ciaz,2017,11567.16,Petrol,,
176,fortuner,2012,22238.81,Diesel,,
177,fortuner,2015,34328.36,Diesel,,
178,innova,2017,26865.67,Diesel,,
179,fortuner,2013,23880.6,Diesel,,
180,innova,2005,4104.48,Petrol,,
181,corolla altis,2009,5373.13,Petrol,,
182,etios cross,2015,6716.42,Petrol,,
183,corolla altis,2010,7089.55,Petrol,,
184,etios g,2014,6119.4,Petrol,,
185,fortuner,2014,29835.82,Diesel,,
186,corolla altis,2013,10373.13,Petrol,,
187,etios liva,2014,5895.52,Diesel,,
188,corolla altis,2016,21985.07,Diesel,,
